query_id,d1,d2,d4,d8,d16,d32,d64,d96,d128,margin_2,margin_4,margin_8,margin_16,margin_32,margin_64,ratio_8,ratio_16,ratio_64,slope_1_8,slope_8_16,slope_16_64,slope_64_96,var_16,var_64,entropy_16,entropy_64,margin_16_32_ratio,min_B,label_class
3221,31894.0,33254.0,37597.0,42160.0,48486.0,55782.0,64099.0,67977.0,71298.0,0.04264124913776886,0.17881106164168808,0.32187872327083467,0.5202232394807801,0.7489809995610459,1.0097510503542986,1.3218787232708347,1.52022323948078,2.0097510503542986,1466.5714285714287,790.75,325.2708333333333,121.1875,28789753.734375,70844310.52514648,-1.000000082690371e-10,-1.000000082690371e-10,0.694574681848627,16,0
8828,75087.0,81517.0,84207.0,91302.0,98274.0,102599.0,107441.0,110548.0,71306.5,0.08563399789577424,0.12145910743537497,0.2159494985816453,0.3088017899236885,0.36640164076338116,0.4308868379346625,1.2159494985816452,1.3088017899236886,1.4308868379346624,2316.4285714285716,871.5,190.97916666666666,97.09375,43575320.83984375,54169192.599365234,-1.000000082690371e-10,-1.000000082690371e-10,0.8427958708927012,16,0
3080,81325.0,82016.0,85480.0,91017.0,97203.0,100329.0,104813.0,108099.0,71306.5,0.008496772210267445,0.051091300338149404,0.11917614509683369,0.1952413157085767,0.2336796802951122,0.28881647709806335,1.1191761450968336,1.1952413157085766,1.2888164770980632,1384.5714285714287,773.25,158.54166666666666,102.6875,25605001.49609375,33457636.204833984,-1.000000082690371e-10,-1.000000082690371e-10,0.8355083140391496,64,2
5630,33860.0,42327.0,45174.0,47132.0,51017.0,53479.0,57012.0,59734.0,71306.5,0.25005906674542233,0.33414057885410514,0.3919669226225635,0.5067040756054342,0.579415239220319,0.68375664500886,1.3919669226225635,1.5067040756054342,1.68375664500886,1896.0,485.625,124.89583333333333,85.0625,15900116.109375,18405237.413085938,-1.000000082690371e-10,-1.000000082690371e-10,0.8745094041490392,32,0
778,42932.0,48210.0,55737.0,60730.0,65879.0,70948.0,77664.0,81381.0,71306.5,0.1229386005776577,0.29826236839653403,0.4145625640547843,0.5344964129320786,0.6525668499021708,0.8090002795117861,1.4145625640547843,1.5344964129320786,1.809000279511786,2542.5714285714284,643.625,245.52083333333334,116.15625,42844905.18359375,53607790.67089844,-1.000000082690371e-10,-1.000000082690371e-10,0.8190676756139349,16,0
9158,62135.0,65769.0,67474.0,69726.0,74156.0,77573.0,81850.0,84526.0,86646.0,0.0584855556449666,0.08592580671119338,0.1221694697030659,0.19346584050857005,0.24845900056328962,0.31729299106783615,1.122169469703066,1.19346584050857,1.3172929910678361,1084.4285714285713,553.75,160.29166666666666,83.625,8971000.15234375,21592742.056396484,-1.000000082690371e-10,-1.000000082690371e-10,0.7786630392537893,64,2
470,51106.0,54837.0,57489.0,64439.0,67096.0,69934.0,75094.0,78320.0,80874.0,0.07300512659961648,0.12489727233592925,0.2608891323915,0.3128791139983564,0.3684107541188901,0.46937737251986067,1.2608891323915,1.3128791139983564,1.4693773725198607,1904.7142857142858,332.125,166.625,100.8125,23354874.125,25392152.989990234,-1.000000082690371e-10,-1.000000082690371e-10,0.8492670490758446,40,1
4310,63189.0,71241.0,75316.0,79490.0,85558.0,91638.0,97454.0,101490.0,71306.5,0.127427242083274,0.19191631454841823,0.2579721153998322,0.35400148760069,0.45022076627261076,0.5422621025811455,1.2579721153998322,1.35400148760069,1.5422621025811454,2328.714285714286,758.5,247.83333333333334,126.125,29831864.46484375,50925076.88964844,-1.000000082690371e-10,-1.000000082690371e-10,0.7862842279166227,64,2
2608,53271.0,56229.0,58473.0,61882.0,67132.0,72286.0,77216.0,81630.0,71306.5,0.05552739764599876,0.09765163034296334,0.16164517279570498,0.26019785624448577,0.35694843348163163,0.44949409622496295,1.161645172795705,1.2601978562444858,1.449494096224963,1230.142857142857,656.25,210.08333333333334,137.9375,16091633.3125,36405709.421875,-1.000000082690371e-10,-1.000000082690371e-10,0.7289508282934527,16,0
377,30390.0,34996.0,37351.0,42969.0,46943.0,52965.0,55985.0,58763.0,61434.0,0.15156301414939125,0.22905561039815728,0.41391905231984205,0.5446857518920698,0.7428430404738401,0.8422178348140836,1.4139190523198422,1.5446857518920698,1.8422178348140836,1797.0,496.75,188.375,86.8125,21058061.6875,37014153.24194336,-1.000000082690371e-10,-1.000000082690371e-10,0.7332447397563677,16,0
823,31731.0,32709.0,34797.0,36031.0,37702.0,39310.0,41539.0,43093.0,44315.0,0.030821594024770728,0.09662475181998677,0.13551416595758092,0.18817560114714318,0.23885159623081528,0.3090983580725474,1.135514165957581,1.1881756011471432,1.3090983580725473,614.2857142857143,208.875,79.9375,48.5625,2955173.859375,5002870.9130859375,-1.000000082690371e-10,-1.000000082690371e-10,0.7878348067027313,32,0
1651,51022.0,61391.0,65368.0,67794.0,70870.0,74990.0,79842.0,83560.0,71306.5,0.20322605934694837,0.2811728274077849,0.3287209439065501,0.3890086629297166,0.4697581435459214,0.5648543765434518,1.3287209439065502,1.3890086629297167,1.564854376543452,2396.0,384.5,186.91666666666666,116.1875,23286210.4375,28479788.568115234,-1.000000082690371e-10,-1.000000082690371e-10,0.8281041388518023,32,0
