query_id,d1,d2,d4,d8,d16,d32,d64,margin_2,margin_4,margin_8,margin_16,margin_32,margin_64,ratio_8,ratio_16,ratio_64,slope_1_8,slope_8_16,slope_16_64,var_16,var_64,entropy_16,entropy_64,margin_16_32_ratio
1,45639.0,46829.0,48371.0,53284.0,56838.0,63251.0,68029.0,0.026074190933193103,0.05986108372225509,0.16751024343215232,0.2453822388746467,0.3858980258112579,0.4905891890707509,1.1675102434321523,1.2453822388746467,1.490589189070751,1092.142857142857,444.25,233.14583333333334,12804101.6875,36061353.71484375,,,0.6358732682262094
2,42231.0,46567.0,51020.0,53838.0,56413.0,58854.0,62082.0,0.10267339158438114,0.20811725983282423,0.2748454926475812,0.335819658544671,0.3936207998863394,0.47005754066917665,1.2748454926475812,1.3358196585446709,1.4700575406691767,1658.142857142857,321.875,118.10416666666667,15745544.12109375,13749115.030273438,,,0.8531552667990134
4,81928.0,82470.0,87778.0,90053.0,92088.0,97056.0,100928.0,0.006615564886241578,0.07140415975002441,0.09917244409725613,0.12401132701884582,0.18464993652963577,0.23191094619666047,1.0991724440972561,1.1240113270188459,1.2319109461966604,1160.7142857142858,254.375,184.16666666666666,9054812.484375,18228879.592773438,,,0.671602326811211
5,16405.0,16452.0,17204.0,18701.0,20188.0,21350.0,22380.0,0.0028649801889667785,0.04870466321243523,0.139957330082292,0.23060042669917707,0.30143249009448336,0.3642182261505639,1.139957330082292,1.230600426699177,1.3642182261505638,328.0,185.875,45.666666666666664,1684688.25,2414096.83984375,,,0.7650151668351871
6,11667.0,15318.0,16743.0,18557.0,20936.0,23434.0,26313.0,0.3129339161738236,0.435073283620468,0.5905545555841262,0.7944630153424188,1.0085711836804663,1.2553355618410902,1.590554555584126,1.7944630153424188,2.25533556184109,984.2857142857143,297.375,112.02083333333333,5698285.80859375,9667754.21069336,,,0.7877113962777259
7,61949.0,72308.0,73518.0,77786.0,81220.0,86639.0,91178.0,0.16721819561251997,0.1867503914510323,0.2556457731359667,0.31107846777187687,0.39855364896931345,0.4718235968296502,1.2556457731359667,1.311078467771877,1.4718235968296502,2262.4285714285716,429.25,207.45833333333334,22816583.77734375,32974043.655273438,,,0.7805184285135683
9,40889.0,49345.0,53828.0,55263.0,61655.0,65041.0,69593.0,0.20680378585927756,0.31644207488566606,0.3515370882144342,0.5078627503729609,0.5906723079556849,0.701998092396488,1.3515370882144342,1.507862750372961,1.7019980923964881,2053.4285714285716,799.0,165.375,28274208.125,30952021.89038086,,,0.8598045710500165
11,34563.0,40639.0,44816.0,50238.0,54888.0,62714.0,67665.0,0.17579492520903856,0.2966467031218355,0.4535196597517577,0.5880565923096953,0.8144836964383879,0.957729363770506,1.4535196597517577,1.5880565923096954,1.957729363770506,2239.285714285714,581.25,266.1875,29268517.80859375,58822862.828125,,,0.7219992185002309
13,60984.0,61991.0,64103.0,68718.0,75453.0,79624.0,83652.0,0.01651252787616424,0.05114456250819887,0.12682014954742227,0.23725895316804407,0.3056539420175784,0.37170405352223534,1.1268201495474224,1.237258953168044,1.3717040535222353,1104.857142857143,841.875,170.8125,22910764.609375,36195734.07006836,,,0.7762339055793991
15,77862.0,80061.0,80906.0,85834.0,89752.0,96843.0,101073.0,0.02824227479386607,0.03909480876422388,0.10238627314993193,0.15270606971308212,0.24377745241581258,0.29810433844494105,1.1023862731499319,1.1527060697130822,1.298104338444941,1138.857142857143,489.75,235.85416666666666,14738267.08984375,36845193.10913086,,,0.6264158895737844
